GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
771,11BNG,11,04-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),JL: Jubo League,5,Civilians (Bangladesh),,7,57,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,The Financial Express (Bangladesh),"At least four journalists were injured as activists of Jubo League attacked them in front of the BNP chairperson's Gulshan office on Sunday afternoon. Witnesses said photojournalists and cameramen of different print and electronic media houses were taking photos and footages when police were arresting some BNP men in front of the office. Suddenly, the activists of the ruling Awami League's youth wing swooped on the journalists, apparently to bar them from taking photos and video clips of the arrest. Police played the role of mere spectators during the attack, witnesses said, according to a news agency.",0
771,12BNG,12,04-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),,5,,,0,50,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,The Financial Express (Bangladesh),"Assailants set alight another bus near Baitul Mokarram South Gate around 1:45 pm. Informed, a fire-fighting unit rushed in and put out the blaze. However, there was no report of any causality or injury in the incidents (2nd bus)",0
771,13BNG,13,04-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),JDC: Bangladesh Jatiotabadi Chatra Dal,5,,,0,50,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,The New Nation (Bangladesh),"Over alleged confinement of BNP Chairperson Khaleda Zia, Jatiyatabadi Chhatra Dal (JCD) leaders and activists vandalised more than fifty vehicles at Banglamotor area in the capital. The incident took place at the area at around 2.30 pm on Sunday when the JCD leaders and activists brought out a rally protesting their chairperson's confinement ahead of their Mondays' programme. Dozens of cocktails have also been blasted in the area at that time.",0
771,14BNG,14,04-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),,5,,,0,50,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,The Financial Express (Bangladesh),"Two buses were set afire at different parts of the capital amid the growing political tension ahead of the BNP-led 20-party's January-5 rally on Sunday. According to the Fire Service Control room, assailants set fire to a bus near Motijheel AGB Colony around 2:10 pm. (1st bus)",0
771,15BNG,15,04-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),,5,,,0,50,Bangladesh,Dhaka,Dhaka,Dhaka,Hatirpool,23.74,90.38,1,United News of Bangladesh,"A rickshaw-puller suffered burn injuries as two crude bombs were blasted at Hatirpool in the afternoon. The injured is Nurul Islam, 50, of the area.Police said the crude bombs were blasted in front of Easter Plaza shopping complex around 3pm. Nurul who came out of his house to buy medicine for his ailing mother sustained injuries in the blast.",0
771,16BNG,16,04-January-2015,2015,1,Violence against civilians,Unidentified Armed Group (Bangladesh),,3,Civilians (Bangladesh),BKL: Bangladesh Krishak League,7,37,Bangladesh,Dhaka,Dhaka,Dhaka,Lalbagh,23.42,90.22,1,The New Nation (Bangladesh),"An activist of Bangladesh  Krishak League was killed and six others were injured in a bomb attack during an arbitration meeting in presence of lawmaker Haji Mohammed Selim, MP, in the city's Lalbagh area on Sunday afternoon. The deceased has been identified as Idris Mia, 35, an activist of the Krishak League ruling party's peasant front. Injured Monir Hossain, 35, Mujibur Rahman, 40, Moslem Uddin, 30, Nuruzzaman, 30, and Md Nizam, 31 had been admitted to the Dhaka Medical College and Hospital (DMCH).",1
771,17BNG,17,04-January-2015,2015,1,Remote violence,Unidentified Armed Group (Bangladesh),,3,,,0,30,Bangladesh,Dhaka,Dhaka,Dhaka,Paltan,23.73,90.41,1,United News of Bangladesh,"Two bombs went off near Paltan Jam-e Mosque around 7:40pm. However, no injury was reported in the incident.",0
771,18BNG,18,04-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),,5,,,0,50,Bangladesh,Dhaka,Dhaka,Savar,Savar,23.84,90.25,1,The Financial Express (Bangladesh),At least five busses have been vandalised and two more were set on fire on Sunday night at different parts of Savar Upazila of Dhaka district.,0
771,19BNG,19,04-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),,5,,,0,50,Bangladesh,Dhaka,Dhaka,Savar,Savar,23.84,90.25,1,The Financial Express (Bangladesh),two more buses were set on fire in front of thana Awami League office at Savar Bus Stand and in front of Jahangirnagar University.,0
771,20BNG,20,04-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BCL: Bangladesh Chhatra League,5,Rioters (Bangladesh),BCL: Bangladesh Chhatra League,5,55,Bangladesh,Sylhet,Sylhet,Sylhet Sadar,Sylhet,24.89,91.86,1,United News of Bangladesh,"At least ten Bangladesh Chhatra League (BCL) activists were injured in a clash between two factions of its Sylhet Agricultural University (SAU) unit over occupying hall seats on Sunday night. 
An altercation ensued between the followers of university unit president Shamim Mollah and the followers of its general secretary Ritwik Deb cover occupying hall seats at Banghabandhu Hall around 10pm.
Following the incident, both the groups, equipped with sharp weapons, attacked each other, leaving 10 people injured from both sides.",0
771,21BNG,21,05-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,Police Forces of Bangladesh,,1,15,Bangladesh,Dhaka,Narayanganj,Bandar,Bandar,23.61,90.53,1,The Financial Express (Bangladesh),"Monday, 5 January: In Narayanganj, at least 20 people, including 10 with bullets, were injured in a clash between the activists of BNP and police in Bandar upazila in the morning.",0
771,22BNG,22,05-January-2015,2015,1,Violence against civilians,Civilians (Bangladesh),BNP: Bangladesh Nationalist Party,7,Police Forces of Bangladesh,,1,17,Bangladesh,Rajshahi,Rajshahi,Charghat,Baneshwar,24.34,88.74,2,The New Nation (Bangladesh),"The local administration imposed section 144 in Baneshwar area of Puthia upazila for an indefinite period from Tuesday morning, following the killing of a BNP activist in a clash with police in the area on Monday. On Monday afternoon, Mazid Uddin, 45, an activist of Solua union unit BNP in Charghat upazila, was killed as police opened fire on a procession of the BNP-led 20-party alliance in Baneshwar in Puthia upazila.Witnesses said, police obstructed a procession of BNP-Jamaat men brought out marking the 'Democracy Killing Day' in the area and opened fire to disperse them, leaving Mazid dead on the spot and 50 others injured.",1
771,23BNG,23,05-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,Police Forces of Bangladesh,,1,15,Bangladesh,Rajshahi,Rajshahi,Charghat,Baneshwar,24.34,88.74,2,The Financial Express (Bangladesh),"Monday, 5 January: Besides, Mazid Uddin (45), an activist of Solua union unit of BNP in Charghat upazila of Rajshahi district, was killed as police opened fire on a procession of the BNP-led 20-party alliance at Baneshwar in the upazila on Monday afternoon.",1
771,24BNG,24,05-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),,5,,,0,50,Bangladesh,Dhaka,Dhaka,Dhaka,Bangshal,23.71,90.40,1,The Financial Express (Bangladesh),Suspected pro-ruling party activists have set fire to the BNP office at Bangshal in Dhaka after they exploded bombs in the area. Witnesses said a gang of assailants set fire to the BNP office around 2:45pm on Monday.,0
771,25BNG,25,05-January-2015,2015,1,Remote violence,Unidentified Armed Group (Bangladesh),,3,,,0,30,Bangladesh,Rajshahi,Rajshahi,Rajshahi,Binodpur,24.73,88.10,1,The Financial Express (Bangladesh),A hand-made bomb exploded in front of the house of Ward No-30 AL General Secretary Shahidul Islam in Binodpur.,0
771,26BNG,26,05-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,Police Forces of Bangladesh,,1,15,Bangladesh,Barisal,Bhola,Bhola Sadar,Bola,22.68,90.64,2,The Financial Express (Bangladesh),"Monday, 5 January: In Bhola, at least 30 people were injured in sporadic clashes among BNP, Awami League and police in different parts of the district throughout the day. Yakub Shah Jewel, 28, a local leader of Swechchashebak Dal, received bullet injuries during the incident. Several vehicles were vandalised and a number of crude bombs were blasted at Bangla School intersection in the morning.",0
771,27BNG,27,05-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),MPL: Muktijoddha Projonmo League,5,Civilians (Bangladesh),NPC: National Press Club,7,57,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,The Financial Express (Bangladesh),"Awami League supporters allegedly swooped on a meeting of a professionals' group at the National Press Club (NPC) in the city on Monday afternoon. Witnesses said the activists of Muktijoddha Projonmo League, a pro-ruling party organisation, backed by a group of AL supporters and equipped with sticks and brick chips, attacked a rally of the 'Peshajibi Parishad', a pro-BNP professionals' body, in the afternoon, leaving an unspecified number of opposition activists injured.",0
771,28BNG,28,05-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,The Financial Express (Bangladesh),"Earlier from Sunday noon to 10:00pm, some 20 vehicles including buses, CNG-run auto rickshaws and private cars were torched in the capital.",0
771,29BNG,29,05-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,Police Forces of Bangladesh,,1,15,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,The Financial Express (Bangladesh),"Monday, 5 January: In the capital clashes broke out between police and opposition activists. Five vehicles were torched in different areas in the city. Clashes spread from Bhatara's Kuril Bishwa Road to Jamuna Future Park starting from around 11:15am Monday. The BNP and Jamaat activists were preparing to take out a procession when police intervened. That sparked the clash, said Bhatara police Inspector Md Abu Bakar Mia. When police tried to disperse agitating BNP-Jamaat activists, they hurled several hand-made bombs.",0
771,30BNG,30,05-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,The Financial Express (Bangladesh),"Monday, 5 January: assailants set an Awami League office ablaze at Siddikbazar in the city around 5:15 am.",0
771,31BNG,31,05-January-2015,2015,1,Violence against civilians,Police Forces of Bangladesh,,1,Civilians (Bangladesh),BNP: Bangladesh Nationalist Party,7,17,Bangladesh,Rajshahi,Nawabganj,Shibganj,Kansat,24.72,88.17,1,The Financial Express (Bangladesh),"Monday, 5 January: In Chapainawabganj, another BNP man was killed and 14 people were injured as law enforcers opened fire on a procession of the BNP-led 20-party alliance at Kansat Bazar in Shibganj upazila in the afternoon. The deceased was identified as Jamsed Ali (40), an activist of local BNP and son of Mantaj Ali of Shibnagar village in the upazila.",1
771,32BNG,32,05-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,Police Forces of Bangladesh,,1,15,Bangladesh,Chittagong,Chittagong,Charghat,Kazir Dewri,22.34,91.82,1,The New Nation (Bangladesh),Clash between BNP-Jammat activists and the police at Kazir Dewri area on Monday.,0
771,33BNG,33,05-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,Police Forces of Bangladesh,,1,15,Bangladesh,Chittagong,Khagrachhari,Khagrachhari,Khagrachhari,23.14,91.93,1,The Financial Express (Bangladesh),"Monday, 5 January: In Khagrachhari, at least 15 people were injured in a triangular clash involving BNP, Awami League and police in different parts of the district town.",0
771,34BNG,34,05-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Dhaka,Dhaka,Dhaka,Mohammadpur,23.42,90.22,1,The Financial Express (Bangladesh),"Unidentified assailants torched a bus at Mohammadpur in Dhaka city on Monday morning. Witnesses said, a gang of youths swooped on the bus at Mohammadpur's Sher-e-Bangla Road around 4:30am. At one stage, they poured petrol in the bus and set it on fire. However, none was reportedly injured in the arson attack.",0
771,35BNG,35,05-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),JDC: Bangladesh Jatiotabadi Chatra Dal,5,Rioters (Bangladesh),AL: Awami League,5,55,Bangladesh,Rajshahi,Natore,Natore Sadar,Natore,24.35,89.08,1,The Financial Express (Bangladesh),"Killing of three activists of Jatiyatabadi Chhatra Dal (JCD) allegedly by the ruling party supporters in Natore town on Monday. Three JCD activists - Rakib, Raihan Hossain Rana and Sohel Rana - were shot dead and 15 other people injured during a clash between the activists of the BNP's student wing and Awami League at Tebaria in the morning. The injured were rescued and rushed to different hospitals and clinics, according to a news agency.",3
771,36BNG,36,05-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),,5,Civilians (Bangladesh),AL: Awami League,7,57,Bangladesh,Rajshahi,Rajshahi,Paba,Paba,24.39,88.60,1,The Financial Express (Bangladesh),"Some assailants hurled bombs at ruling party MP of Rajshahi-3 Ayeen Uddin while he was addressing a rally at Paba Upazila in Rajshahi on Monday. However, none was injured. Two bombs were hurled at MP Ayen Uddin as soon as he went up to the podium to address a rally at Paba, said the police official. 'The bombs exploded near the stage. The lawmaker was whisked away by police and Awami League activists immediately,' he added, according to a news agency.",0
771,37BNG,37,05-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,Rioters (Bangladesh),AL: Awami League,5,55,Bangladesh,Rajshahi,Pabna,Pabna Sadar,Pabna,24.00,89.23,1,The Financial Express (Bangladesh),"Monday, 5 January: In Pabna, at least 15 people were injured in a clash between the activists of Awami League and BNP at Indara Patti intersection in the city. At least 10-12 crude bombs were exploded and five vehicles vandalised during the incident.",0
771,38BNG,38,05-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Rajshahi,Rajshahi,Rajshahi,Rajshahi,24.37,88.60,1,The Financial Express (Bangladesh),"assailants have set fire to an Awami League office in Rajshahi during the first anniversary of the January 5 national polls. Police detained two, including a local Jamaat-e-Islami activist, after the fire on Monday morning. Boalia police OC Khandaker Nur Hossain said 25 to 30 masked men spilled petrol in the AL office next to the New Market in the suburbs around 6:45am today",0
771,39BNG,39,05-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Dhaka,Dhaka,Dhaka,Suritola,23.42,90.22,1,The Financial Express (Bangladesh),The assailants also exploded three to four crude bombs near Suritola overpass in the afternoon amidst tension over programmes announced by both BNP and Awami League marking the last national election boycotted by BNP.,0
771,40BNG,40,05-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),JDC: Bangladesh Jatiotabadi Chatra Dal,5,Rioters (Bangladesh),AL: Awami League,5,55,Bangladesh,Rajshahi,Natore,Natore Sadar,Tebaria,24.41,88.67,1,The Financial Express (Bangladesh),"Monday, 5 January: Rakib and Raihan Hossain Rana-two activists of pro-BNP Jatiyatabadi Chhatra Dal (JCD)-were shot dead and 15 others injured during a clash with Awami League workers at Tebaria in Natore district town in the morning.",2
771,41BNG,41,06-January-2015,2015,1,Riots/Protests,Protesters (Bangladesh),,6,,,0,60,Bangladesh,Chittagong,Chittagong,Chittagong,Chittagong,22.33,91.83,1,The New Nation (Bangladesh),The journalists on Tuesday condemned the police assault which left a number of journalists injured while covering the clash between BNP-Jammat activists and the police at Kazir Dewri area on Monday. The TV unit of Chittagong Union of Journalists (CUJ) brought out a protest procession and held a rally on Chittagong Press Club premises. The journalist in the rally said that they were coming under attack repeatedly while performing their professional duty and it became increasingly risky for them to work as journalists,0
771,42BNG,42,06-January-2015,2015,1,Remote violence,Unidentified Armed Group (Bangladesh),,3,Civilians (Bangladesh),BNP: Bangladesh Nationalist Party,7,37,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,Bangladesh Government News,"One Ansar member was injured in a petrol bomb attack in capital's Kadamtoli area early today, the first day of a nationwide indefinite transport blockade called by the BNP-led 20-party alliance protesting against government ban on holding meetings and rallies in the city.",0
771,43BNG,43,06-January-2015,2015,1,Remote violence,Unidentified Armed Group (Bangladesh),,3,Police Forces of Bangladesh,,1,13,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,The Financial Express (Bangladesh),"Several powerful bombs were exploded in Old Dhaka on Tuesday, the first day of the BNP-led 20-party alliance's nonstop nationwide roads, highways, railways and waterways blockade. The bombings took place around 11:30am at Johnson Road near court areas and DC office. Anti Corruption Commission employee Md Jashim, who was at the spot, said that a group of people hurled 5 to 7 bombs near the DC office. Police responded with firing blank shots but failed to arrest anyone. No casualties were reported from the explosions.",0
771,44BNG,44,06-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,Civilians (Bangladesh),BFUJ: Bangladesh Federal Union of Journalists,7,57,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,Bangladesh Government News,BNP-Jamaat leaders and activists carried out sudden attack on BFUJ and DUJ leaders at Jatiya Press Club here this afternoon. They hurled brickbats and chairs on the leaders of Bangladesh Federal Union of Journalists (BFUJ) and Dhaka Union of Journalists (DUJ) leaving several progressive journalists injured as BFUJ and DUJ were holding a rally in the JPC premises raising different demands including implementation of 8th wage-board in all media. (Tuesday),0
771,45BNG,45,06-January-2015,2015,1,Riots/Protests,Protesters (Bangladesh),BNP: Bangladesh Nationalist Party,6,,,0,60,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,The Financial Express (Bangladesh),"Earlier, pro-BNP lawyers took out a procession in supporting of the indefinite blockade near lower court area in the morning, according to a news agency.",0
771,46BNG,46,06-January-2015,2015,1,Riots/Protests,Protesters (Bangladesh),BFUJ: Bangladesh Federal Union of Journalists,6,,,0,60,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,Bangladesh Government News,"Following the attack of BNP-Jamaat on leaders of Bangladesh Federal Union of Journalists (BFUJ) and Dhaka Union of Journalists (DUJ), BFUJ leaders brought out a procession at the club premises. (Tuesday)",0
771,47BNG,47,06-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),JeI-ICS: Jamaat-e-Islami,5,Police Forces of Bangladesh,,1,15,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,Bangladesh Government News,"On Tuesday, some pro-blockade Shibir activists beaten up four on-duty policemen indiscriminately after snatching their helmets and short-guns in Shalbagan area in the city.
Injured policemen, constables Shafiqul Islam and Amzad Hossain, were admitted to Rajshahi Medical College Hospital while two others, Sub-Inspector Jahangir and pickup driver Mainul Islam, were given first aid.",0
771,48BNG,48,06-January-2015,2015,1,Riots/Protests,Protesters (Bangladesh),BCL: Bangladesh Chhatra League,6,,,0,60,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,3,The Financial Express (Bangladesh),"The nationwide indefinite transport blockade, enforced by the BNP-led 20-party alliance, entered 10th day on Thursday. Vehicular movement in the capital was thin in the morning. Rail communications with Dhaka and other districts were normal. No long haul buses left the city or any entered. A large number of law enforcers remained deployed in different parts of the capital to fend off any trouble. (Countrywide: the 3 in the geoprecision indicates that the event was taking place all across Bangladesh) DAY 1",0
771,49BNG,49,06-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),,5,,,0,50,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,The Financial Express (Bangladesh),"Three vehicles, including two buses, were set ablaze at different parts in Dhaka city on Tuesday, the 1st day of the nonstop nationwide blockade enforced by the BNP-led 20-party alliance since 6am today 3) Another vehicle, a private car, was set ablaze in the city's volleyball stadium area in Rajuk Avenue on Tuesday afternoon. Earlier, having failed to come out of her office to join her alliance's planned rally in Dhaka, BNP Chairperson Khaleda Zia on Monday announced a the nationwide roads, railways and waterways blockade until they come up with a fresh decision, according to a news agency.",0
771,50BNG,50,06-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Khulna,Jessore,Jessore Sadar,Jessore,23.16,89.21,1,Bangladesh Government News,"After an hour assailants again set another bus on fire in the same area at about 3-30am. Firemen again came to the spot and extinguished the fire.
Fire injured Murad was admitted to Jessore hospital and later he was shifted to Dhaka for better treatment.",0
771,51BNG,51,06-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,Civilians (Bangladesh),,7,57,Bangladesh,Khulna,Jessore,Jessore Sadar,Jessore,23.16,89.21,1,Bangladesh Government News,assailants set ablaze two buses at Khejura bus stand on Tuesday night. One helper of a bus who was sleeping in the bus received serious burn injuries.,0
771,52BNG,52,06-January-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,Police Forces of Bangladesh,,1,15,Bangladesh,Dhaka,Narayanganj,Narayanganj Sadar,Narayanganj,23.61,90.50,1,United News of Bangladesh,"Narayanganj, Jan 6 - At least 10 BNP leaders and activists, including its district unit president Taimur Alam Khandaker, were injured in a clash with police on Tuesday morning.
Witnesses said local leaders and activists of BNP, led by Advocate Taimur Alam Khandaker, brought out a procession at Khanpur in the city around 7:00 am today as part of the countrywide non-stop blockade, announced by BNP Chairperson Khaleda Zia on Monday.
When the procession was passing Chasara area in the city, police chased the BNP men and a clash ensued. The BNP activists started hurling brick chips and crude bombs towards the law enforcers.
At one stage, police charged batons and fired shots in the air to bring the situation under control, leaving 10 BNP men including Taimur injured",0
